Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,LineItemInsurance,Manufacturing country,Manufacturing_Country_Lat,Manufacturing_Country_Lon,Warehouse_Country_Lat,Warehouse_Country_Lon,Distance_to_Warehouse_mi,Delay
Nigeria,EXW,Air,2008-05-02,2008-02-05,"Orgenics, Ltd",650,6.5,0.01,0.0,Yes,0.01,India,22.3511148,78.6677428,9.6000359,7.9999721,6306,-87
Haiti,EXW,Air,2008-02-18,2008-02-18,"Trinity Biotech, Plc",2,278.0,139.0,1.39,Yes,0.44,India,22.3511148,78.6677428,19.1399952,-72.3570972,6831,0
Guyana,EXW,Air,2008-09-04,2008-04-01,"Orgenics, Ltd",240,2.4,0.01,0.0,Yes,0.0,India,22.3511148,78.6677428,4.8417097,-58.6416891,6831,-156
South Africa,DDP,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,6,405.06,67.51,0.25,Yes,0.65,Switzerland,46.7985624,8.2319736,-28.8166236,24.991639,5328,0
South Africa,DDP,Truck,2008-04-24,2008-04-24,S. BUYS WHOLESALER,600,870.0,1.45,0.01,No,1.39,France,46.603354,1.8883335,-28.8166236,24.991639,5407,0
Nigeria,EXW,Air,2008-09-07,2008-07-04,"Orgenics, Ltd",5498,54.98,0.01,0.0,Yes,0.09,India,22.3511148,78.6677428,9.6000359,7.9999721,6306,-65
Ethiopia,DDP,Air,2008-09-05,2008-05-09,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,15,691.42,46.09,2.3,Yes,1.11,India,22.3511148,78.6677428,10.2116702,38.6521203,2773,-119
South Africa,DDP,Truck,2008-08-20,2008-08-20,S. BUYS WHOLESALER,20,103.4,5.17,0.09,Yes,0.2,France,46.603354,1.8883335,-28.8166236,24.991639,5407,0
South Africa,DDP,Truck,2008-08-20,2008-05-08,S. BUYS WHOLESALER,100,1906.0,19.06,0.64,Yes,3.05,France,46.603354,1.8883335,-28.8166236,24.991639,5407,-104
South Africa,DDP,Truck,2008-08-20,2008-05-08,S. BUYS WHOLESALER,670,1025.1,1.53,0.01,No,1.64,France,46.603354,1.8883335,-28.8166236,24.991639,5407,-104
South Africa,DDP,Truck,2008-12-06,2008-06-09,S. BUYS WHOLESALER,30,1049.4,34.98,0.58,Yes,1.68,United Kingdom,54.7023545,-3.2765753,-28.8166236,24.991639,6010,-180
South Africa,DDP,Truck,2008-10-07,2008-07-08,S. BUYS WHOLESALER,50,696.5,13.93,0.06,Yes,1.11,India,22.3511148,78.6677428,-28.8166236,24.991639,5026,-91
Namibia,EXW,Air,2008-09-18,2008-09-18,"Trinity Biotech, Plc",10,320.0,32.0,1.6,Yes,0.51,India,22.3511148,78.6677428,-23.2335499,17.3231107,3714,0
Nigeria,CIP,Air,2009-10-03,2009-04-08,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),9,453.6,50.4,1.68,Yes,0.89,Netherlands,52.24764975,5.541246849406163,9.6000359,7.9999721,1718,-178
South Africa,DDP,Truck,2009-05-17,2008-10-09,S. BUYS WHOLESALER,80,1830.4,22.88,0.76,Yes,3.59,Saudi Arabia,25.6242618,42.3528328,-28.8166236,24.991639,6473,-220
South Africa,DDP,Truck,2009-05-17,2009-05-17,S. BUYS WHOLESALER,120,2745.6,22.88,0.76,Yes,5.38,Saudi Arabia,25.6242618,42.3528328,-28.8166236,24.991639,6473,0
South Africa,DDP,Truck,2009-05-17,2008-10-09,S. BUYS WHOLESALER,600,858.0,1.43,0.01,No,1.68,France,46.603354,1.8883335,-28.8166236,24.991639,5407,-220
South Africa,DDP,Truck,2009-05-17,2008-10-09,S. BUYS WHOLESALER,7,91.35,13.05,0.22,No,0.18,France,46.603354,1.8883335,-28.8166236,24.991639,5407,-220
