Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,FreightCost ,LineItemInsurance  ,Manufacturing country
Nigeria,EXW,Air,2-May-08,5-Feb-08,"Orgenics, Ltd",650,6.5,0.01,0.0,Yes,Invoiced Separately,0.01,India
Haiti,EXW,Air,18-Feb-08,18-Feb-08,"Trinity Biotech, Plc",2,278.0,139.0,1.39,Yes,Invoiced Separately,0.44,India
Guyana,EXW,Air,4-Sep-08,1-Apr-08,"Orgenics, Ltd",240,2.4,0.01,0.0,Yes,Invoiced Separately,0.0,India
South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,6,405.06,67.51,0.25,Yes,Freight Included in Commodity Cost,0.65,Switzerland
South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,600,870.0,1.45,0.01,No,Freight Included in Commodity Cost,1.39,France
Nigeria,EXW,Air,7-Sep-08,4-Jul-08,"Orgenics, Ltd",5498,54.98,0.01,0.0,Yes,Invoiced Separately,0.09,India
Ethiopia,DDP,Air,5-Sep-08,9-May-08,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,15,691.42,46.09,2.3,Yes,Freight Included in Commodity Cost,1.11,India
South Africa,DDP,Truck,20-Aug-08,20-Aug-08,S. BUYS WHOLESALER,20,103.4,5.17,0.09,Yes,Freight Included in Commodity Cost,0.2,France
South Africa,DDP,Truck,20-Aug-08,8-May-08,S. BUYS WHOLESALER,100,1906.0,19.06,0.64,Yes,Freight Included in Commodity Cost,3.05,France
South Africa,DDP,Truck,20-Aug-08,8-May-08,S. BUYS WHOLESALER,670,1025.1,1.53,0.01,No,Freight Included in Commodity Cost,1.64,France
South Africa,DDP,Truck,6-Dec-08,9-Jun-08,S. BUYS WHOLESALER,30,1049.4,34.98,0.58,Yes,Freight Included in Commodity Cost,1.68,United Kingdom
South Africa,DDP,Truck,7-Oct-08,8-Jul-08,S. BUYS WHOLESALER,50,696.5,13.93,0.06,Yes,Freight Included in Commodity Cost,1.11,India
Namibia,EXW,Air,18-Sep-08,18-Sep-08,"Trinity Biotech, Plc",10,320.0,32.0,1.6,Yes,Invoiced Separately,0.51,India
Nigeria,CIP,Air,3-Oct-09,8-Apr-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),9,453.6,50.4,1.68,Yes,Freight Included in Commodity Cost,0.89,Netherlands
South Africa,DDP,Truck,17-May-09,9-Oct-08,S. BUYS WHOLESALER,80,1830.4,22.88,0.76,Yes,Freight Included in Commodity Cost,3.59,Saudi Arabia
South Africa,DDP,Truck,17-May-09,17-May-09,S. BUYS WHOLESALER,120,2745.6,22.88,0.76,Yes,Freight Included in Commodity Cost,5.38,Saudi Arabia
South Africa,DDP,Truck,17-May-09,9-Oct-08,S. BUYS WHOLESALER,600,858.0,1.43,0.01,No,Freight Included in Commodity Cost,1.68,France
South Africa,DDP,Truck,17-May-09,9-Oct-08,S. BUYS WHOLESALER,7,91.35,13.05,0.22,No,Freight Included in Commodity Cost,0.18,France
South Africa,DDP,Truck,17-May-09,9-Oct-08,S. BUYS WHOLESALER,40,1375.6,34.39,0.11,No,Freight Included in Commodity Cost,2.7,United Kingdom
Guyana,CIP,Air,2-Jun-09,6-Feb-09,ZEPHYR BIOMEDICALS,108,4050.0,37.5,1.5,Yes,Freight Included in Commodity Cost,7.94,Poland
South Africa,DDP,Air,31-Mar-09,2-Dec-08,S. BUYS WHOLESALER,3025,47522.75,15.71,0.52,Yes,Freight Included in Commodity Cost,93.14,India
South Africa,DDP,Air,4-Jul-09,3-Dec-08,S. BUYS WHOLESALER,3500,49840.0,14.24,0.47,Yes,Freight Included in Commodity Cost,97.69,India
