Line Item Quantity,Line Item Value,Pack Price,Unit Price,LineItemInsurance,Delay,Shipment Mode
650,6.5,0.01,0.0,0.01,-87,Air_All
240,2.4,0.01,0.0,0.0,-156,Air_All
6,405.06,67.51,0.25,0.65,0,Ground_Sea
600,870.0,1.45,0.01,1.39,0,Ground_Sea
5498,54.98,0.01,0.0,0.09,-65,Air_All
15,691.42,46.09,2.3,1.11,-119,Air_All
20,103.4,5.17,0.09,0.2,0,Ground_Sea
100,1906.0,19.06,0.64,3.05,-104,Ground_Sea
670,1025.1,1.53,0.01,1.64,-104,Ground_Sea
30,1049.4,34.98,0.58,1.68,-180,Ground_Sea
50,696.5,13.93,0.06,1.11,-91,Ground_Sea
10,320.0,32.0,1.6,0.51,0,Air_All
9,453.6,50.4,1.68,0.89,-178,Air_All
80,1830.4,22.88,0.76,3.59,-220,Ground_Sea
120,2745.6,22.88,0.76,5.38,0,Ground_Sea
600,858.0,1.43,0.01,1.68,-220,Ground_Sea
7,91.35,13.05,0.22,0.18,-220,Ground_Sea
40,1375.6,34.39,0.11,2.7,-220,Ground_Sea
108,4050.0,37.5,1.5,7.94,-116,Air_All
3025,47522.75,15.71,0.52,93.14,-119,Air_All
3500,49840.0,14.24,0.47,97.69,-213,Air_All
1008,3588.48,3.56,0.01,7.03,-213,Air_All
960,1152.0,1.2,0.01,2.26,-133,Air_All
1200,3384.0,2.82,0.05,6.63,-130,Air_All
346,1954.9,5.65,0.02,3.83,-65,Air_All
5300,16642.0,3.14,0.1,32.62,-20,Ground_Sea
342,1932.3,5.65,0.02,3.79,-8,Air_All
2700,10665.0,3.95,0.07,20.9,0,Ground_Sea
3735,134385.3,35.98,0.3,263.4,-72,Air_All
6000,80640.0,13.44,0.22,158.05,-57,Air_All
11672,35016.0,3.0,0.05,68.63,-66,Air_All
30,1080.0,36.0,0.12,2.12,-101,Ground_Sea
80,2816.0,35.2,1.17,5.52,-28,Ground_Sea
1000,19770.0,19.77,0.33,38.75,-22,Ground_Sea
